Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [047/200] | LR: 0.01000 | Tr Loss: 7.8225 | Te Loss: 14.0486 | Te Acc: 15.69% | Best: 15.84%
Round [048/200] | LR: 0.01000 | Tr Loss: 7.1425 | Te Loss: 14.6531 | Te Acc: 16.32% | Best: 16.32%
Round [049/200] | LR: 0.01000 | Tr Loss: 11.1692 | Te Loss: 14.4287 | Te Acc: 15.32% | Best: 16.32%
Round [050/200] | LR: 0.01000 | Tr Loss: 10.7321 | Te Loss: 14.1012 | Te Acc: 16.97% | Best: 16.97%

>>> Round 51: Unfreezing the backbone for fine-tuning! <<<
Round [051/200] | LR: 0.00010 | Tr Loss: 8.9489 | Te Loss: 31.8251 | Te Acc: 1.02% | Best: 16.97%
Round [052/200] | LR: 0.00010 | Tr Loss: 9.2026 | Te Loss: 10.8743 | Te Acc: 0.83% | Best: 16.97%
Round [053/200] | LR: 0.00010 | Tr Loss: 3.4320 | Te Loss: 10.6516 | Te Acc: 0.88% | Best: 16.97%
Round [054/200] | LR: 0.00010 | Tr Loss: 4.0329 | Te Loss: 13.0003 | Te Acc: 0.96% | Best: 16.97%
Round [055/200] | LR: 0.00010 | Tr Loss: 4.8418 | Te Loss: 7.7233 | Te Acc: 0.98% | Best: 16.97%
Round [056/200] | LR: 0.00010 | Tr Loss: 3.7849 | Te Loss: 8.1040 | Te Acc: 1.01% | Best: 16.97%
Round [057/200] | LR: 0.00010 | Tr Loss: 3.5039 | Te Loss: 11.5102 | Te Acc: 0.91% | Best: 16.97%
Round [058/200] | LR: 0.00010 | Tr Loss: 3.3686 | Te Loss: 9.3341 | Te Acc: 1.01% | Best: 16.97%
Round [059/200] | LR: 0.00010 | Tr Loss: 4.2585 | Te Loss: 6.1268 | Te Acc: 1.59% | Best: 16.97%
Round [060/200] | LR: 0.00010 | Tr Loss: 2.1858 | Te Loss: 6.0834 | Te Acc: 1.80% | Best: 16.97%
Round [061/200] | LR: 0.00010 | Tr Loss: 2.9823 | Te Loss: 6.3936 | Te Acc: 1.49% | Best: 16.97%
Round [062/200] | LR: 0.00010 | Tr Loss: 2.4887 | Te Loss: 5.5891 | Te Acc: 1.22% | Best: 16.97%
Round [063/200] | LR: 0.00010 | Tr Loss: 2.1145 | Te Loss: 5.6691 | Te Acc: 1.09% | Best: 16.97%
Round [064/200] | LR: 0.00010 | Tr Loss: 2.3037 | Te Loss: 5.4986 | Te Acc: 1.31% | Best: 16.97%
Round [065/200] | LR: 0.00010 | Tr Loss: 2.3784 | Te Loss: 5.4633 | Te Acc: 1.16% | Best: 16.97%
Round [066/200] | LR: 0.00010 | Tr Loss: 2.1432 | Te Loss: 5.6418 | Te Acc: 1.54% | Best: 16.97%
Round [067/200] | LR: 0.00010 | Tr Loss: 2.4175 | Te Loss: 5.6644 | Te Acc: 1.71% | Best: 16.97%
Round [068/200] | LR: 0.00010 | Tr Loss: 2.2983 | Te Loss: 5.8357 | Te Acc: 1.08% | Best: 16.97%
Round [069/200] | LR: 0.00010 | Tr Loss: 1.9328 | Te Loss: 6.4926 | Te Acc: 1.51% | Best: 16.97%
Round [070/200] | LR: 0.00010 | Tr Loss: 2.3667 | Te Loss: 5.3628 | Te Acc: 1.43% | Best: 16.97%
Round [071/200] | LR: 0.00010 | Tr Loss: 1.9392 | Te Loss: 5.4091 | Te Acc: 1.19% | Best: 16.97%
Round [072/200] | LR: 0.00010 | Tr Loss: 1.7827 | Te Loss: 5.5530 | Te Acc: 1.61% | Best: 16.97%
Round [073/200] | LR: 0.00010 | Tr Loss: 2.5688 | Te Loss: 5.6724 | Te Acc: 1.96% | Best: 16.97%
Round [074/200] | LR: 0.00010 | Tr Loss: 2.2923 | Te Loss: 5.2864 | Te Acc: 1.66% | Best: 16.97%
Round [075/200] | LR: 0.00010 | Tr Loss: 2.2422 | Te Loss: 6.9469 | Te Acc: 1.14% | Best: 16.97%
Round [076/200] | LR: 0.00010 | Tr Loss: 2.1826 | Te Loss: 5.9392 | Te Acc: 1.44% | Best: 16.97%
Round [077/200] | LR: 0.00010 | Tr Loss: 2.3015 | Te Loss: 5.4691 | Te Acc: 1.37% | Best: 16.97%
Round [078/200] | LR: 0.00010 | Tr Loss: 2.3107 | Te Loss: 5.5665 | Te Acc: 1.58% | Best: 16.97%
Round [079/200] | LR: 0.00010 | Tr Loss: 2.0514 | Te Loss: 5.9795 | Te Acc: 1.87% | Best: 16.97%
Round [080/200] | LR: 0.00010 | Tr Loss: 2.2415 | Te Loss: 5.5222 | Te Acc: 1.45% | Best: 16.97%
Round [081/200] | LR: 0.00010 | Tr Loss: 2.1777 | Te Loss: 5.1010 | Te Acc: 1.58% | Best: 16.97%
Round [082/200] | LR: 0.00010 | Tr Loss: 1.9282 | Te Loss: 5.1668 | Te Acc: 1.36% | Best: 16.97%
Round [083/200] | LR: 0.00010 | Tr Loss: 2.0939 | Te Loss: 5.3340 | Te Acc: 1.15% | Best: 16.97%
Round [084/200] | LR: 0.00010 | Tr Loss: 2.2375 | Te Loss: 5.0450 | Te Acc: 1.90% | Best: 16.97%
Round [085/200] | LR: 0.00010 | Tr Loss: 1.8821 | Te Loss: 5.2765 | Te Acc: 1.76% | Best: 16.97%
Round [086/200] | LR: 0.00010 | Tr Loss: 1.7377 | Te Loss: 5.3086 | Te Acc: 1.77% | Best: 16.97%
Round [087/200] | LR: 0.00010 | Tr Loss: 1.9132 | Te Loss: 5.1979 | Te Acc: 2.18% | Best: 16.97%
Round [088/200] | LR: 0.00010 | Tr Loss: 2.1149 | Te Loss: 6.5519 | Te Acc: 1.43% | Best: 16.97%
Round [089/200] | LR: 0.00010 | Tr Loss: 2.6110 | Te Loss: 7.3352 | Te Acc: 1.10% | Best: 16.97%
Round [090/200] | LR: 0.00010 | Tr Loss: 2.5343 | Te Loss: 6.6363 | Te Acc: 1.64% | Best: 16.97%
Round [091/200] | LR: 0.00010 | Tr Loss: 2.4680 | Te Loss: 5.0510 | Te Acc: 1.66% | Best: 16.97%
Round [092/200] | LR: 0.00010 | Tr Loss: 1.9217 | Te Loss: 5.6404 | Te Acc: 1.77% | Best: 16.97%
Round [093/200] | LR: 0.00010 | Tr Loss: 2.1288 | Te Loss: 5.1777 | Te Acc: 2.11% | Best: 16.97%
Round [094/200] | LR: 0.00010 | Tr Loss: 2.0969 | Te Loss: 5.5962 | Te Acc: 3.15% | Best: 16.97%
Round [095/200] | LR: 0.00010 | Tr Loss: 1.9657 | Te Loss: 5.2574 | Te Acc: 2.02% | Best: 16.97%
Round [096/200] | LR: 0.00010 | Tr Loss: 1.9477 | Te Loss: 5.2749 | Te Acc: 1.47% | Best: 16.97%
Round [097/200] | LR: 0.00010 | Tr Loss: 2.2785 | Te Loss: 7.8153 | Te Acc: 1.03% | Best: 16.97%
Round [098/200] | LR: 0.00010 | Tr Loss: 3.3402 | Te Loss: 8.4468 | Te Acc: 1.51% | Best: 16.97%
Round [099/200] | LR: 0.00010 | Tr Loss: 3.8527 | Te Loss: 5.5612 | Te Acc: 1.52% | Best: 16.97%
Round [100/200] | LR: 0.00010 | Tr Loss: 2.1976 | Te Loss: 5.9961 | Te Acc: 1.20% | Best: 16.97%
Round [101/200] | LR: 0.00010 | Tr Loss: 2.1671 | Te Loss: 5.3736 | Te Acc: 1.76% | Best: 16.97%
Round [102/200] | LR: 0.00010 | Tr Loss: 2.3643 | Te Loss: 5.7675 | Te Acc: 1.72% | Best: 16.97%
Round [103/200] | LR: 0.00010 | Tr Loss: 1.8598 | Te Loss: 5.6455 | Te Acc: 1.53% | Best: 16.97%
Round [104/200] | LR: 0.00010 | Tr Loss: 2.1128 | Te Loss: 5.2369 | Te Acc: 1.85% | Best: 16.97%
Round [105/200] | LR: 0.00010 | Tr Loss: 2.2925 | Te Loss: 5.0097 | Te Acc: 2.23% | Best: 16.97%
Round [106/200] | LR: 0.00010 | Tr Loss: 2.3968 | Te Loss: 4.8797 | Te Acc: 2.32% | Best: 16.97%
Round [107/200] | LR: 0.00010 | Tr Loss: 1.9427 | Te Loss: 5.1363 | Te Acc: 1.44% | Best: 16.97%
Round [108/200] | LR: 0.00010 | Tr Loss: 2.0635 | Te Loss: 4.9872 | Te Acc: 1.83% | Best: 16.97%
Round [109/200] | LR: 0.00010 | Tr Loss: 2.2602 | Te Loss: 5.4329 | Te Acc: 1.13% | Best: 16.97%
Round [110/200] | LR: 0.00010 | Tr Loss: 2.0248 | Te Loss: 5.5445 | Te Acc: 1.22% | Best: 16.97%
Round [111/200] | LR: 0.00010 | Tr Loss: 2.1479 | Te Loss: 5.3239 | Te Acc: 2.42% | Best: 16.97%
Round [112/200] | LR: 0.00010 | Tr Loss: 2.1506 | Te Loss: 5.1779 | Te Acc: 1.50% | Best: 16.97%
Round [113/200] | LR: 0.00010 | Tr Loss: 2.1059 | Te Loss: 5.2277 | Te Acc: 1.73% | Best: 16.97%
