Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=50, J=8
Round [046/100] | LR: 0.00100 | Tr Loss: 3.7292 | Te Loss: 4.3289 | Te Acc: 6.56% | Best: 53.89%
Round [047/100] | LR: 0.00100 | Tr Loss: 3.6835 | Te Loss: 4.3609 | Te Acc: 6.70% | Best: 53.89%
Round [048/100] | LR: 0.00100 | Tr Loss: 3.7016 | Te Loss: 4.4056 | Te Acc: 5.77% | Best: 53.89%
Round [049/100] | LR: 0.00100 | Tr Loss: 3.6921 | Te Loss: 4.3503 | Te Acc: 7.04% | Best: 53.89%
Round [050/100] | LR: 0.00100 | Tr Loss: 3.6156 | Te Loss: 4.2703 | Te Acc: 7.96% | Best: 53.89%
Round [051/100] | LR: 0.00100 | Tr Loss: 3.5915 | Te Loss: 4.2736 | Te Acc: 8.01% | Best: 53.89%
Round [052/100] | LR: 0.00100 | Tr Loss: 3.5796 | Te Loss: 4.2904 | Te Acc: 7.36% | Best: 53.89%
Round [053/100] | LR: 0.00100 | Tr Loss: 3.5996 | Te Loss: 4.3485 | Te Acc: 7.01% | Best: 53.89%
Round [054/100] | LR: 0.00100 | Tr Loss: 3.6237 | Te Loss: 4.2522 | Te Acc: 7.26% | Best: 53.89%
Round [055/100] | LR: 0.00100 | Tr Loss: 3.5667 | Te Loss: 4.3150 | Te Acc: 7.82% | Best: 53.89%
Round [056/100] | LR: 0.00100 | Tr Loss: 3.4728 | Te Loss: 4.1821 | Te Acc: 8.98% | Best: 53.89%
Round [057/100] | LR: 0.00100 | Tr Loss: 3.4886 | Te Loss: 4.2346 | Te Acc: 7.71% | Best: 53.89%
Round [058/100] | LR: 0.00100 | Tr Loss: 3.4339 | Te Loss: 4.1405 | Te Acc: 9.71% | Best: 53.89%
Round [059/100] | LR: 0.00100 | Tr Loss: 3.3957 | Te Loss: 4.1639 | Te Acc: 9.15% | Best: 53.89%
Round [060/100] | LR: 0.00100 | Tr Loss: 3.4014 | Te Loss: 4.2506 | Te Acc: 8.31% | Best: 53.89%
Round [061/100] | LR: 0.00010 | Tr Loss: 3.8656 | Te Loss: 4.0671 | Te Acc: 11.12% | Best: 53.89%
Round [062/100] | LR: 0.00010 | Tr Loss: 3.7483 | Te Loss: 3.9912 | Te Acc: 12.23% | Best: 53.89%
Round [063/100] | LR: 0.00010 | Tr Loss: 3.6708 | Te Loss: 3.9591 | Te Acc: 12.86% | Best: 53.89%
Round [064/100] | LR: 0.00010 | Tr Loss: 3.6392 | Te Loss: 3.9449 | Te Acc: 13.27% | Best: 53.89%
Round [065/100] | LR: 0.00010 | Tr Loss: 3.6060 | Te Loss: 3.9217 | Te Acc: 13.99% | Best: 53.89%
Round [066/100] | LR: 0.00010 | Tr Loss: 3.6057 | Te Loss: 3.9085 | Te Acc: 14.31% | Best: 53.89%
Round [067/100] | LR: 0.00010 | Tr Loss: 3.5606 | Te Loss: 3.9077 | Te Acc: 14.10% | Best: 53.89%
Round [068/100] | LR: 0.00010 | Tr Loss: 3.5556 | Te Loss: 3.8978 | Te Acc: 14.20% | Best: 53.89%
Round [069/100] | LR: 0.00010 | Tr Loss: 3.6022 | Te Loss: 3.8915 | Te Acc: 14.37% | Best: 53.89%
Round [070/100] | LR: 0.00010 | Tr Loss: 3.5319 | Te Loss: 3.8853 | Te Acc: 14.53% | Best: 53.89%
Round [071/100] | LR: 0.00010 | Tr Loss: 3.5100 | Te Loss: 3.8793 | Te Acc: 14.57% | Best: 53.89%
Round [072/100] | LR: 0.00010 | Tr Loss: 3.5657 | Te Loss: 3.8815 | Te Acc: 14.61% | Best: 53.89%
Round [073/100] | LR: 0.00010 | Tr Loss: 3.5384 | Te Loss: 3.8779 | Te Acc: 14.47% | Best: 53.89%
Round [074/100] | LR: 0.00010 | Tr Loss: 3.5561 | Te Loss: 3.8726 | Te Acc: 14.68% | Best: 53.89%
Round [075/100] | LR: 0.00010 | Tr Loss: 3.5204 | Te Loss: 3.8665 | Te Acc: 15.00% | Best: 53.89%
Round [076/100] | LR: 0.00010 | Tr Loss: 3.5108 | Te Loss: 3.8679 | Te Acc: 14.98% | Best: 53.89%
Round [077/100] | LR: 0.00010 | Tr Loss: 3.4842 | Te Loss: 3.8678 | Te Acc: 14.68% | Best: 53.89%
Round [078/100] | LR: 0.00010 | Tr Loss: 3.5330 | Te Loss: 3.8497 | Te Acc: 15.47% | Best: 53.89%
Round [079/100] | LR: 0.00010 | Tr Loss: 3.4950 | Te Loss: 3.8468 | Te Acc: 14.92% | Best: 53.89%
Round [080/100] | LR: 0.00010 | Tr Loss: 3.4671 | Te Loss: 3.8516 | Te Acc: 15.12% | Best: 53.89%
Round [081/100] | LR: 0.00001 | Tr Loss: 3.6588 | Te Loss: 3.8473 | Te Acc: 15.18% | Best: 53.89%
Round [082/100] | LR: 0.00001 | Tr Loss: 3.6646 | Te Loss: 3.8433 | Te Acc: 15.25% | Best: 53.89%
Round [083/100] | LR: 0.00001 | Tr Loss: 3.6523 | Te Loss: 3.8404 | Te Acc: 15.43% | Best: 53.89%
Round [084/100] | LR: 0.00001 | Tr Loss: 3.6507 | Te Loss: 3.8371 | Te Acc: 15.59% | Best: 53.89%
Round [085/100] | LR: 0.00001 | Tr Loss: 3.6372 | Te Loss: 3.8332 | Te Acc: 15.63% | Best: 53.89%
Round [086/100] | LR: 0.00001 | Tr Loss: 3.6910 | Te Loss: 3.8307 | Te Acc: 15.50% | Best: 53.89%
Round [087/100] | LR: 0.00001 | Tr Loss: 3.6443 | Te Loss: 3.8288 | Te Acc: 15.65% | Best: 53.89%
Round [088/100] | LR: 0.00001 | Tr Loss: 3.6417 | Te Loss: 3.8280 | Te Acc: 15.63% | Best: 53.89%
Round [089/100] | LR: 0.00001 | Tr Loss: 3.6627 | Te Loss: 3.8272 | Te Acc: 15.61% | Best: 53.89%
Round [090/100] | LR: 0.00001 | Tr Loss: 3.6480 | Te Loss: 3.8254 | Te Acc: 15.60% | Best: 53.89%
Round [091/100] | LR: 0.00001 | Tr Loss: 3.6349 | Te Loss: 3.8258 | Te Acc: 15.73% | Best: 53.89%
Round [092/100] | LR: 0.00001 | Tr Loss: 3.6593 | Te Loss: 3.8249 | Te Acc: 15.74% | Best: 53.89%
Round [093/100] | LR: 0.00001 | Tr Loss: 3.6453 | Te Loss: 3.8266 | Te Acc: 15.76% | Best: 53.89%
Round [094/100] | LR: 0.00001 | Tr Loss: 3.6144 | Te Loss: 3.8252 | Te Acc: 15.74% | Best: 53.89%
Round [095/100] | LR: 0.00001 | Tr Loss: 3.6207 | Te Loss: 3.8223 | Te Acc: 15.72% | Best: 53.89%
Round [096/100] | LR: 0.00001 | Tr Loss: 3.6357 | Te Loss: 3.8188 | Te Acc: 15.70% | Best: 53.89%
Round [097/100] | LR: 0.00001 | Tr Loss: 3.5969 | Te Loss: 3.8188 | Te Acc: 15.64% | Best: 53.89%
Round [098/100] | LR: 0.00001 | Tr Loss: 3.6245 | Te Loss: 3.8173 | Te Acc: 15.84% | Best: 53.89%
Round [099/100] | LR: 0.00001 | Tr Loss: 3.6494 | Te Loss: 3.8170 | Te Acc: 15.91% | Best: 53.89%
Round [100/100] | LR: 0.00001 | Tr Loss: 3.6599 | Te Loss: 3.8172 | Te Acc: 15.86% | Best: 53.89%
