Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=50, J=4
Round [047/200] | LR: 0.01000 | Tr Loss: 1.9413 | Te Loss: 2.5896 | Te Acc: 50.96% | Best: 50.96%
Round [048/200] | LR: 0.01000 | Tr Loss: 2.1120 | Te Loss: 2.6236 | Te Acc: 50.91% | Best: 50.96%
Round [049/200] | LR: 0.01000 | Tr Loss: 2.0609 | Te Loss: 2.5995 | Te Acc: 50.71% | Best: 50.96%
Round [050/200] | LR: 0.01000 | Tr Loss: 2.0589 | Te Loss: 2.6318 | Te Acc: 50.72% | Best: 50.96%

>>> Round 51: Unfreezing the backbone for fine-tuning! <<<
Round [051/200] | LR: 0.00100 | Tr Loss: 8.2982 | Te Loss: 7.5300 | Te Acc: 1.55% | Best: 50.96%
Round [052/200] | LR: 0.00100 | Tr Loss: 10.6880 | Te Loss: 9.5298 | Te Acc: 1.00% | Best: 50.96%
Round [053/200] | LR: 0.00100 | Tr Loss: 9.4506 | Te Loss: 9.0680 | Te Acc: 1.00% | Best: 50.96%
Round [054/200] | LR: 0.00100 | Tr Loss: 9.7241 | Te Loss: 8.7671 | Te Acc: 1.04% | Best: 50.96%
Round [055/200] | LR: 0.00100 | Tr Loss: 9.4516 | Te Loss: 7.7377 | Te Acc: 1.25% | Best: 50.96%
Round [056/200] | LR: 0.00100 | Tr Loss: 7.3641 | Te Loss: 7.4311 | Te Acc: 0.95% | Best: 50.96%
Round [057/200] | LR: 0.00100 | Tr Loss: 7.4147 | Te Loss: 6.9726 | Te Acc: 0.99% | Best: 50.96%
Round [058/200] | LR: 0.00100 | Tr Loss: 6.4124 | Te Loss: 6.6253 | Te Acc: 1.02% | Best: 50.96%
Round [059/200] | LR: 0.00100 | Tr Loss: 6.0565 | Te Loss: 6.2152 | Te Acc: 1.00% | Best: 50.96%
Round [060/200] | LR: 0.00100 | Tr Loss: 5.8580 | Te Loss: 5.7384 | Te Acc: 1.21% | Best: 50.96%
Round [061/200] | LR: 0.00100 | Tr Loss: 5.4324 | Te Loss: 5.7021 | Te Acc: 1.00% | Best: 50.96%
Round [062/200] | LR: 0.00100 | Tr Loss: 5.2340 | Te Loss: 5.4908 | Te Acc: 1.00% | Best: 50.96%
Round [063/200] | LR: 0.00100 | Tr Loss: 4.9418 | Te Loss: 5.1927 | Te Acc: 0.97% | Best: 50.96%
Round [064/200] | LR: 0.00100 | Tr Loss: 4.7562 | Te Loss: 5.0538 | Te Acc: 1.52% | Best: 50.96%
Round [065/200] | LR: 0.00100 | Tr Loss: 4.6075 | Te Loss: 5.0775 | Te Acc: 1.00% | Best: 50.96%
Round [066/200] | LR: 0.00100 | Tr Loss: 4.7202 | Te Loss: 5.0281 | Te Acc: 1.00% | Best: 50.96%
Round [067/200] | LR: 0.00100 | Tr Loss: 4.7520 | Te Loss: 5.0950 | Te Acc: 1.00% | Best: 50.96%
Round [068/200] | LR: 0.00100 | Tr Loss: 4.8637 | Te Loss: 5.1433 | Te Acc: 0.97% | Best: 50.96%
Round [069/200] | LR: 0.00100 | Tr Loss: 4.6536 | Te Loss: 5.1349 | Te Acc: 1.03% | Best: 50.96%
Round [070/200] | LR: 0.00100 | Tr Loss: 4.6879 | Te Loss: 5.0620 | Te Acc: 1.82% | Best: 50.96%
Round [071/200] | LR: 0.00100 | Tr Loss: 4.5464 | Te Loss: 4.9658 | Te Acc: 1.23% | Best: 50.96%
Round [072/200] | LR: 0.00100 | Tr Loss: 4.5588 | Te Loss: 4.9778 | Te Acc: 1.03% | Best: 50.96%
Round [073/200] | LR: 0.00100 | Tr Loss: 4.5556 | Te Loss: 4.9344 | Te Acc: 1.20% | Best: 50.96%
Round [074/200] | LR: 0.00100 | Tr Loss: 4.4788 | Te Loss: 4.9965 | Te Acc: 2.32% | Best: 50.96%
Round [075/200] | LR: 0.00100 | Tr Loss: 4.4517 | Te Loss: 4.9003 | Te Acc: 1.02% | Best: 50.96%
Round [076/200] | LR: 0.00100 | Tr Loss: 4.4591 | Te Loss: 4.9007 | Te Acc: 1.37% | Best: 50.96%
Round [077/200] | LR: 0.00100 | Tr Loss: 4.4742 | Te Loss: 4.8913 | Te Acc: 1.00% | Best: 50.96%
Round [078/200] | LR: 0.00100 | Tr Loss: 4.4324 | Te Loss: 4.8927 | Te Acc: 1.74% | Best: 50.96%
Round [079/200] | LR: 0.00100 | Tr Loss: 4.4568 | Te Loss: 4.8454 | Te Acc: 1.64% | Best: 50.96%
Round [080/200] | LR: 0.00100 | Tr Loss: 4.3897 | Te Loss: 4.8952 | Te Acc: 1.10% | Best: 50.96%
Round [081/200] | LR: 0.00100 | Tr Loss: 4.4146 | Te Loss: 4.8688 | Te Acc: 1.33% | Best: 50.96%
Round [082/200] | LR: 0.00100 | Tr Loss: 4.4355 | Te Loss: 4.9575 | Te Acc: 1.03% | Best: 50.96%
Round [083/200] | LR: 0.00100 | Tr Loss: 4.4145 | Te Loss: 4.9150 | Te Acc: 1.21% | Best: 50.96%
Round [084/200] | LR: 0.00100 | Tr Loss: 4.3720 | Te Loss: 4.8259 | Te Acc: 1.33% | Best: 50.96%
Round [085/200] | LR: 0.00100 | Tr Loss: 4.3774 | Te Loss: 4.8007 | Te Acc: 1.26% | Best: 50.96%
Round [086/200] | LR: 0.00100 | Tr Loss: 4.3555 | Te Loss: 4.8461 | Te Acc: 2.06% | Best: 50.96%
Round [087/200] | LR: 0.00100 | Tr Loss: 4.3652 | Te Loss: 4.8327 | Te Acc: 1.98% | Best: 50.96%
Round [088/200] | LR: 0.00100 | Tr Loss: 4.3329 | Te Loss: 4.7799 | Te Acc: 1.53% | Best: 50.96%
Round [089/200] | LR: 0.00100 | Tr Loss: 4.3800 | Te Loss: 4.8104 | Te Acc: 2.30% | Best: 50.96%
Round [090/200] | LR: 0.00100 | Tr Loss: 4.3213 | Te Loss: 4.8011 | Te Acc: 2.13% | Best: 50.96%
Round [091/200] | LR: 0.00100 | Tr Loss: 4.2738 | Te Loss: 4.7411 | Te Acc: 2.64% | Best: 50.96%
Round [092/200] | LR: 0.00100 | Tr Loss: 4.2307 | Te Loss: 4.7175 | Te Acc: 2.72% | Best: 50.96%
Round [093/200] | LR: 0.00100 | Tr Loss: 4.1864 | Te Loss: 4.6937 | Te Acc: 3.13% | Best: 50.96%
Round [094/200] | LR: 0.00100 | Tr Loss: 4.2274 | Te Loss: 4.7792 | Te Acc: 2.31% | Best: 50.96%
Round [095/200] | LR: 0.00100 | Tr Loss: 4.2340 | Te Loss: 4.8665 | Te Acc: 1.93% | Best: 50.96%
Round [096/200] | LR: 0.00100 | Tr Loss: 4.2893 | Te Loss: 4.7480 | Te Acc: 1.77% | Best: 50.96%
Round [097/200] | LR: 0.00100 | Tr Loss: 4.2346 | Te Loss: 4.6194 | Te Acc: 2.80% | Best: 50.96%
Round [098/200] | LR: 0.00100 | Tr Loss: 4.1484 | Te Loss: 4.6479 | Te Acc: 2.47% | Best: 50.96%
Round [099/200] | LR: 0.00100 | Tr Loss: 4.1557 | Te Loss: 4.7083 | Te Acc: 1.95% | Best: 50.96%
Round [100/200] | LR: 0.00100 | Tr Loss: 4.1552 | Te Loss: 4.6776 | Te Acc: 2.73% | Best: 50.96%
Round [101/200] | LR: 0.00100 | Tr Loss: 4.2115 | Te Loss: 4.6649 | Te Acc: 2.91% | Best: 50.96%
Round [102/200] | LR: 0.00100 | Tr Loss: 4.1852 | Te Loss: 4.6369 | Te Acc: 2.94% | Best: 50.96%
Round [103/200] | LR: 0.00100 | Tr Loss: 4.1914 | Te Loss: 4.6106 | Te Acc: 2.80% | Best: 50.96%
Round [104/200] | LR: 0.00100 | Tr Loss: 4.0692 | Te Loss: 4.5995 | Te Acc: 3.21% | Best: 50.96%
Round [105/200] | LR: 0.00100 | Tr Loss: 4.1109 | Te Loss: 4.5568 | Te Acc: 2.73% | Best: 50.96%
Round [106/200] | LR: 0.00100 | Tr Loss: 4.1034 | Te Loss: 4.6716 | Te Acc: 2.63% | Best: 50.96%
Round [107/200] | LR: 0.00100 | Tr Loss: 4.0794 | Te Loss: 4.8193 | Te Acc: 2.86% | Best: 50.96%
Round [108/200] | LR: 0.00100 | Tr Loss: 4.2096 | Te Loss: 4.6242 | Te Acc: 2.97% | Best: 50.96%
Round [109/200] | LR: 0.00100 | Tr Loss: 4.1654 | Te Loss: 4.5853 | Te Acc: 3.18% | Best: 50.96%
Round [110/200] | LR: 0.00100 | Tr Loss: 4.1256 | Te Loss: 4.5784 | Te Acc: 2.64% | Best: 50.96%
Round [111/200] | LR: 0.00100 | Tr Loss: 4.1263 | Te Loss: 4.6356 | Te Acc: 3.02% | Best: 50.96%
Round [112/200] | LR: 0.00100 | Tr Loss: 4.1228 | Te Loss: 4.6267 | Te Acc: 3.61% | Best: 50.96%
Round [113/200] | LR: 0.00100 | Tr Loss: 4.1471 | Te Loss: 4.5615 | Te Acc: 3.10% | Best: 50.96%
Round [114/200] | LR: 0.00100 | Tr Loss: 4.0830 | Te Loss: 4.6057 | Te Acc: 2.79% | Best: 50.96%
Round [115/200] | LR: 0.00100 | Tr Loss: 4.1123 | Te Loss: 4.5428 | Te Acc: 3.00% | Best: 50.96%
Round [116/200] | LR: 0.00100 | Tr Loss: 4.1046 | Te Loss: 4.5923 | Te Acc: 3.31% | Best: 50.96%
Round [117/200] | LR: 0.00100 | Tr Loss: 4.0143 | Te Loss: 4.5912 | Te Acc: 3.40% | Best: 50.96%
Round [118/200] | LR: 0.00100 | Tr Loss: 4.1389 | Te Loss: 4.5584 | Te Acc: 3.81% | Best: 50.96%
Round [119/200] | LR: 0.00100 | Tr Loss: 4.0489 | Te Loss: 4.5066 | Te Acc: 3.11% | Best: 50.96%
Round [120/200] | LR: 0.00100 | Tr Loss: 4.1036 | Te Loss: 4.4948 | Te Acc: 4.16% | Best: 50.96%
Round [121/200] | LR: 0.00010 | Tr Loss: 3.9860 | Te Loss: 4.5355 | Te Acc: 3.08% | Best: 50.96%
Round [122/200] | LR: 0.00010 | Tr Loss: 4.0280 | Te Loss: 4.5660 | Te Acc: 3.87% | Best: 50.96%
Round [123/200] | LR: 0.00010 | Tr Loss: 4.0739 | Te Loss: 4.5024 | Te Acc: 2.74% | Best: 50.96%
Round [124/200] | LR: 0.00010 | Tr Loss: 4.0731 | Te Loss: 4.5818 | Te Acc: 3.28% | Best: 50.96%
Round [125/200] | LR: 0.00010 | Tr Loss: 4.1104 | Te Loss: 4.5417 | Te Acc: 3.54% | Best: 50.96%
Round [126/200] | LR: 0.00010 | Tr Loss: 4.0662 | Te Loss: 4.5929 | Te Acc: 3.75% | Best: 50.96%
Round [127/200] | LR: 0.00010 | Tr Loss: 4.0962 | Te Loss: 4.4733 | Te Acc: 3.79% | Best: 50.96%
Round [128/200] | LR: 0.00010 | Tr Loss: 3.9675 | Te Loss: 4.5507 | Te Acc: 3.77% | Best: 50.96%
Round [129/200] | LR: 0.00010 | Tr Loss: 4.1114 | Te Loss: 4.5340 | Te Acc: 3.04% | Best: 50.96%
Round [130/200] | LR: 0.00010 | Tr Loss: 4.0143 | Te Loss: 4.5235 | Te Acc: 3.79% | Best: 50.96%
Round [131/200] | LR: 0.00010 | Tr Loss: 4.1900 | Te Loss: 4.5598 | Te Acc: 3.34% | Best: 50.96%
Round [132/200] | LR: 0.00010 | Tr Loss: 4.0623 | Te Loss: 4.5312 | Te Acc: 3.90% | Best: 50.96%
Round [133/200] | LR: 0.00010 | Tr Loss: 4.0354 | Te Loss: 4.5086 | Te Acc: 3.68% | Best: 50.96%
Round [134/200] | LR: 0.00010 | Tr Loss: 3.9612 | Te Loss: 4.4859 | Te Acc: 4.27% | Best: 50.96%
Round [135/200] | LR: 0.00010 | Tr Loss: 3.9601 | Te Loss: 4.5109 | Te Acc: 3.32% | Best: 50.96%
Round [136/200] | LR: 0.00010 | Tr Loss: 3.9483 | Te Loss: 4.5976 | Te Acc: 3.47% | Best: 50.96%
Round [137/200] | LR: 0.00010 | Tr Loss: 3.9837 | Te Loss: 4.4984 | Te Acc: 3.87% | Best: 50.96%
Round [138/200] | LR: 0.00010 | Tr Loss: 3.9966 | Te Loss: 4.4327 | Te Acc: 3.80% | Best: 50.96%
Round [139/200] | LR: 0.00010 | Tr Loss: 3.9340 | Te Loss: 4.5137 | Te Acc: 3.74% | Best: 50.96%
Round [140/200] | LR: 0.00010 | Tr Loss: 3.9691 | Te Loss: 4.5801 | Te Acc: 3.65% | Best: 50.96%
Round [141/200] | LR: 0.00010 | Tr Loss: 4.0059 | Te Loss: 4.4621 | Te Acc: 4.60% | Best: 50.96%
Round [142/200] | LR: 0.00010 | Tr Loss: 3.9853 | Te Loss: 4.5237 | Te Acc: 3.76% | Best: 50.96%
Round [143/200] | LR: 0.00010 | Tr Loss: 4.0461 | Te Loss: 4.4921 | Te Acc: 3.58% | Best: 50.96%
Round [144/200] | LR: 0.00010 | Tr Loss: 3.9667 | Te Loss: 4.5067 | Te Acc: 4.66% | Best: 50.96%
Round [145/200] | LR: 0.00010 | Tr Loss: 4.0172 | Te Loss: 4.4666 | Te Acc: 4.47% | Best: 50.96%
Round [146/200] | LR: 0.00010 | Tr Loss: 3.9106 | Te Loss: 4.4539 | Te Acc: 3.77% | Best: 50.96%
Round [147/200] | LR: 0.00010 | Tr Loss: 3.9949 | Te Loss: 4.4717 | Te Acc: 4.18% | Best: 50.96%
Round [148/200] | LR: 0.00010 | Tr Loss: 3.9317 | Te Loss: 4.4651 | Te Acc: 4.15% | Best: 50.96%
Round [149/200] | LR: 0.00010 | Tr Loss: 3.9030 | Te Loss: 4.3964 | Te Acc: 5.35% | Best: 50.96%
Round [150/200] | LR: 0.00010 | Tr Loss: 3.9231 | Te Loss: 4.4286 | Te Acc: 3.77% | Best: 50.96%
Round [151/200] | LR: 0.00010 | Tr Loss: 3.8992 | Te Loss: 4.4691 | Te Acc: 4.29% | Best: 50.96%
Round [152/200] | LR: 0.00010 | Tr Loss: 3.8883 | Te Loss: 4.4451 | Te Acc: 4.31% | Best: 50.96%
Round [153/200] | LR: 0.00010 | Tr Loss: 3.9247 | Te Loss: 4.4558 | Te Acc: 4.89% | Best: 50.96%
Round [154/200] | LR: 0.00010 | Tr Loss: 3.8970 | Te Loss: 4.5048 | Te Acc: 5.01% | Best: 50.96%
Round [155/200] | LR: 0.00010 | Tr Loss: 3.9728 | Te Loss: 4.4885 | Te Acc: 5.10% | Best: 50.96%
Round [156/200] | LR: 0.00010 | Tr Loss: 3.9176 | Te Loss: 4.4099 | Te Acc: 4.72% | Best: 50.96%
Round [157/200] | LR: 0.00010 | Tr Loss: 3.8704 | Te Loss: 4.4491 | Te Acc: 5.04% | Best: 50.96%
Round [158/200] | LR: 0.00010 | Tr Loss: 3.9247 | Te Loss: 4.4700 | Te Acc: 4.76% | Best: 50.96%
Round [159/200] | LR: 0.00010 | Tr Loss: 3.8797 | Te Loss: 4.4032 | Te Acc: 4.55% | Best: 50.96%
Round [160/200] | LR: 0.00010 | Tr Loss: 3.8871 | Te Loss: 4.3837 | Te Acc: 4.33% | Best: 50.96%
Round [161/200] | LR: 0.00001 | Tr Loss: 3.9196 | Te Loss: 4.3563 | Te Acc: 4.95% | Best: 50.96%
Round [162/200] | LR: 0.00001 | Tr Loss: 3.8590 | Te Loss: 4.3724 | Te Acc: 5.60% | Best: 50.96%
Round [163/200] | LR: 0.00001 | Tr Loss: 3.9109 | Te Loss: 4.3358 | Te Acc: 5.81% | Best: 50.96%
Round [164/200] | LR: 0.00001 | Tr Loss: 3.8586 | Te Loss: 4.3728 | Te Acc: 5.35% | Best: 50.96%
Round [165/200] | LR: 0.00001 | Tr Loss: 3.8302 | Te Loss: 4.4246 | Te Acc: 5.74% | Best: 50.96%
Round [166/200] | LR: 0.00001 | Tr Loss: 3.9000 | Te Loss: 4.3720 | Te Acc: 5.48% | Best: 50.96%
Round [167/200] | LR: 0.00001 | Tr Loss: 3.8702 | Te Loss: 4.3774 | Te Acc: 5.08% | Best: 50.96%
Round [168/200] | LR: 0.00001 | Tr Loss: 3.8997 | Te Loss: 4.3694 | Te Acc: 5.65% | Best: 50.96%
Round [169/200] | LR: 0.00001 | Tr Loss: 3.8566 | Te Loss: 4.3487 | Te Acc: 5.23% | Best: 50.96%
Round [170/200] | LR: 0.00001 | Tr Loss: 3.8087 | Te Loss: 4.3442 | Te Acc: 6.38% | Best: 50.96%
Round [171/200] | LR: 0.00001 | Tr Loss: 3.8428 | Te Loss: 4.3087 | Te Acc: 6.47% | Best: 50.96%
Round [172/200] | LR: 0.00001 | Tr Loss: 3.8115 | Te Loss: 4.2940 | Te Acc: 6.23% | Best: 50.96%
Round [173/200] | LR: 0.00001 | Tr Loss: 3.7397 | Te Loss: 4.2985 | Te Acc: 6.15% | Best: 50.96%
Round [174/200] | LR: 0.00001 | Tr Loss: 3.8129 | Te Loss: 4.2974 | Te Acc: 5.29% | Best: 50.96%
Round [175/200] | LR: 0.00001 | Tr Loss: 3.7709 | Te Loss: 4.2745 | Te Acc: 6.22% | Best: 50.96%
Round [176/200] | LR: 0.00001 | Tr Loss: 3.7428 | Te Loss: 4.3122 | Te Acc: 6.19% | Best: 50.96%
Round [177/200] | LR: 0.00001 | Tr Loss: 3.8089 | Te Loss: 4.3309 | Te Acc: 5.60% | Best: 50.96%
Round [178/200] | LR: 0.00001 | Tr Loss: 3.7693 | Te Loss: 4.3889 | Te Acc: 3.67% | Best: 50.96%
Round [179/200] | LR: 0.00001 | Tr Loss: 3.7997 | Te Loss: 4.3477 | Te Acc: 5.94% | Best: 50.96%
Round [180/200] | LR: 0.00001 | Tr Loss: 3.7968 | Te Loss: 4.4086 | Te Acc: 6.85% | Best: 50.96%
Round [181/200] | LR: 0.00001 | Tr Loss: 3.9065 | Te Loss: 4.3857 | Te Acc: 4.84% | Best: 50.96%
Round [182/200] | LR: 0.00001 | Tr Loss: 3.8206 | Te Loss: 4.3029 | Te Acc: 6.32% | Best: 50.96%
Round [183/200] | LR: 0.00001 | Tr Loss: 3.8435 | Te Loss: 4.3445 | Te Acc: 5.98% | Best: 50.96%
Round [184/200] | LR: 0.00001 | Tr Loss: 3.7759 | Te Loss: 4.3409 | Te Acc: 6.90% | Best: 50.96%
Round [185/200] | LR: 0.00001 | Tr Loss: 3.7504 | Te Loss: 4.2816 | Te Acc: 5.74% | Best: 50.96%
Round [186/200] | LR: 0.00001 | Tr Loss: 3.7625 | Te Loss: 4.3581 | Te Acc: 6.17% | Best: 50.96%
Round [187/200] | LR: 0.00001 | Tr Loss: 3.7807 | Te Loss: 4.2892 | Te Acc: 6.92% | Best: 50.96%
Round [188/200] | LR: 0.00001 | Tr Loss: 3.7808 | Te Loss: 4.3175 | Te Acc: 6.36% | Best: 50.96%
Round [189/200] | LR: 0.00001 | Tr Loss: 3.7425 | Te Loss: 4.3004 | Te Acc: 6.79% | Best: 50.96%
Round [190/200] | LR: 0.00001 | Tr Loss: 3.6977 | Te Loss: 4.3415 | Te Acc: 6.28% | Best: 50.96%
Round [191/200] | LR: 0.00001 | Tr Loss: 3.7763 | Te Loss: 4.3111 | Te Acc: 6.71% | Best: 50.96%
Round [192/200] | LR: 0.00001 | Tr Loss: 3.6839 | Te Loss: 4.3372 | Te Acc: 6.36% | Best: 50.96%
Round [193/200] | LR: 0.00001 | Tr Loss: 3.8030 | Te Loss: 4.2877 | Te Acc: 6.26% | Best: 50.96%
Round [194/200] | LR: 0.00001 | Tr Loss: 3.7824 | Te Loss: 4.3155 | Te Acc: 6.88% | Best: 50.96%
Round [195/200] | LR: 0.00001 | Tr Loss: 3.7403 | Te Loss: 4.3092 | Te Acc: 7.35% | Best: 50.96%
Round [196/200] | LR: 0.00001 | Tr Loss: 3.7917 | Te Loss: 4.3008 | Te Acc: 7.00% | Best: 50.96%
Round [197/200] | LR: 0.00001 | Tr Loss: 3.7623 | Te Loss: 4.2267 | Te Acc: 7.46% | Best: 50.96%
Round [198/200] | LR: 0.00001 | Tr Loss: 3.7302 | Te Loss: 4.2734 | Te Acc: 8.01% | Best: 50.96%
Round [199/200] | LR: 0.00001 | Tr Loss: 3.7126 | Te Loss: 4.2887 | Te Acc: 6.49% | Best: 50.96%
Round [200/200] | LR: 0.00001 | Tr Loss: 3.6561 | Te Loss: 4.3295 | Te Acc: 6.31% | Best: 50.96%
Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=50, J=4
Round [001/200] | LR: 0.01000 | Tr Loss: 6.7553 | Te Loss: 6.7934 | Te Acc: 1.77% | Best: 1.77%
Round [002/200] | LR: 0.01000 | Tr Loss: 5.8777 | Te Loss: 6.2203 | Te Acc: 3.15% | Best: 3.15%
Round [003/200] | LR: 0.01000 | Tr Loss: 5.7035 | Te Loss: 5.7531 | Te Acc: 4.68% | Best: 4.68%
Round [004/200] | LR: 0.01000 | Tr Loss: 5.1191 | Te Loss: 5.3427 | Te Acc: 6.11% | Best: 6.11%
