Files already downloaded and verified
Files already downloaded and verified
Using cache found in /home/xi/.cache/torch/hub/facebookresearch_dino_main
/home/xi/miniconda3/envs/torch_env/lib/python3.10/site-packages/torch/cuda/__init__.py:716: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")

>> Running: Nc=1, J=4
Round [047/200] | LR: 0.01000 | Tr Loss: 5.1626 | Te Loss: 12.3434 | Te Acc: 16.76% | Best: 17.12%
Round [048/200] | LR: 0.01000 | Tr Loss: 7.6443 | Te Loss: 13.8953 | Te Acc: 11.80% | Best: 17.12%
Round [049/200] | LR: 0.01000 | Tr Loss: 11.0933 | Te Loss: 12.9282 | Te Acc: 15.59% | Best: 17.12%
Round [050/200] | LR: 0.01000 | Tr Loss: 8.6736 | Te Loss: 13.7186 | Te Acc: 14.62% | Best: 17.12%

>>> Round 51: Unfreezing the backbone for fine-tuning! <<<
Round [051/200] | LR: 0.00100 | Tr Loss: 5.9333 | Te Loss: 21.6046 | Te Acc: 1.38% | Best: 17.12%
Round [052/200] | LR: 0.00100 | Tr Loss: 6.7044 | Te Loss: 16.3911 | Te Acc: 0.99% | Best: 17.12%
Round [053/200] | LR: 0.00100 | Tr Loss: 5.9793 | Te Loss: 11.8871 | Te Acc: 1.00% | Best: 17.12%
Round [054/200] | LR: 0.00100 | Tr Loss: 3.9449 | Te Loss: 8.2312 | Te Acc: 1.16% | Best: 17.12%
Round [055/200] | LR: 0.00100 | Tr Loss: 2.7684 | Te Loss: 6.2508 | Te Acc: 1.09% | Best: 17.12%
Round [056/200] | LR: 0.00100 | Tr Loss: 2.1014 | Te Loss: 6.5578 | Te Acc: 0.98% | Best: 17.12%
Round [057/200] | LR: 0.00100 | Tr Loss: 1.9944 | Te Loss: 6.3091 | Te Acc: 0.83% | Best: 17.12%
Round [058/200] | LR: 0.00100 | Tr Loss: 2.2866 | Te Loss: 6.1686 | Te Acc: 1.76% | Best: 17.12%
Round [059/200] | LR: 0.00100 | Tr Loss: 2.7727 | Te Loss: 5.9222 | Te Acc: 1.24% | Best: 17.12%
Round [060/200] | LR: 0.00100 | Tr Loss: 2.0052 | Te Loss: 6.6036 | Te Acc: 1.18% | Best: 17.12%
Round [061/200] | LR: 0.00100 | Tr Loss: 2.8731 | Te Loss: 6.0681 | Te Acc: 1.00% | Best: 17.12%
Round [062/200] | LR: 0.00100 | Tr Loss: 2.2497 | Te Loss: 6.5828 | Te Acc: 1.34% | Best: 17.12%
Round [063/200] | LR: 0.00100 | Tr Loss: 1.8947 | Te Loss: 6.0344 | Te Acc: 1.16% | Best: 17.12%
Round [064/200] | LR: 0.00100 | Tr Loss: 2.1088 | Te Loss: 5.4364 | Te Acc: 1.09% | Best: 17.12%
Round [065/200] | LR: 0.00100 | Tr Loss: 1.7560 | Te Loss: 5.8735 | Te Acc: 1.01% | Best: 17.12%
Round [066/200] | LR: 0.00100 | Tr Loss: 1.5609 | Te Loss: 5.4985 | Te Acc: 0.89% | Best: 17.12%
